categories,cat_id,groups,gr_id,resources,csr_code
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 79 кВт (108 л.с.)",91.01.01-014
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 121 кВт (165 л.с.)",91.01.01-015
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 132 кВт (180 л.с.)",91.01.01-016
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 243 кВт (330 л.с.)",91.01.01-018
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 303 кВт (410 л.с.)",91.01.01-019
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры-рыхлители на тракторе, мощность 382 кВт (520 л.с.)",91.01.01-021
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 59 кВт (80 л.с.)",91.01.01-034
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 79 кВт (108 л.с.)",91.01.01-035
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 96 кВт (130 л.с.)",91.01.01-036
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 121 кВт (165 л.с.)",91.01.01-038
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 132 кВт (180 л.с.)",91.01.01-039
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 243 кВт (330 л.с.)",91.01.01-040
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 303 кВт (410 л.с.)",91.01.01-046
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры, мощность 340 кВт (450 л.с.)",91.01.01-047
Машины для земляных работ,0,Бульдозеры,0,"Бульдозеры в составе кабелеукладочной колонны, мощность 128,7 кВт (175 л.с.)",96.01.01-001
Машины для земляных работ,0,Грейдеры,0,"Автогрейдеры тяжелого типа, мощность 135 кВт (184 л.с.)",91.01.02-001
Машины для земляных работ,0,Грейдеры,0,"Автогрейдеры тяжелого типа, мощность 129 кВт (176 л.с.)",91.01.02-002
Машины для земляных работ,0,Грейдеры,0,"Автогрейдеры легкого типа, мощность 66 кВт (90 л.с.)",91.01.02-003
Машины для земляных работ,0,Грейдеры,0,"Автогрейдеры среднего типа, мощность 99 кВт (135 л.с.)",91.01.02-004
Машины для земляных работ,0,Грейдеры,0,"Автогрейдеры особо тяжелого типа, мощность 173 кВт (235 л.с.)",91.01.02-005
Машины для земляных работ,0,Грейдеры,0,Грейдеры прицепные среднего типа,91.01.02-021
Машины для земляных работ,0,Грейдеры,0,Грейдеры прицепные тяжелого типа,91.01.02-022
Машины для земляных работ,0,Скреперы,0,"Комплексы скреперные, емкость ковша 0,6-0,8 м3",91.01.03-001
Машины для земляных работ,0,Скреперы,0,"Комплексы скреперные, емкость ковша до 0,5 м3",91.01.03-002
Машины для земляных работ,0,Скреперы,0,"Скреперы самоходные, геометрическая емкость ковша 15,0 м3",91.01.03-012
Машины для земляных работ,0,Скреперы,0,"Скреперы самоходные, геометрическая емкость ковша 25,0 м3",91.01.03-013
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 3,0 м3",91.01.03-020
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 4,5 м3",91.01.03-021
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 7,0 м3",91.01.03-022
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 8,0 м3",91.01.03-023
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 10,0 м3",91.01.03-024
Машины для земляных работ,0,Скреперы,0,"Скреперы прицепные (с гусеничным трактором), емкость ковша 15,0 м3",91.01.03-025
Машины для земляных работ,0,Скреперы,0,"Скреперы самоходные, геометрическая емкость ковша 8,0 м3",91.01.03-032
Машины для земляных работ,0,Установки баровые,0,"Установки двухбаровые на тракторе, мощность 79 кВт (108 л.с.)",91.01.04-001
Машины для земляных работ,0,Установки баровые,0,"Установки однобаровые на тракторе, мощность 59 кВт (80 л.с.), ширина щели 14 см",91.01.04-002
Машины для земляных работ,0,Установки баровые,0,"Установки однобаровые на тракторе, мощность 79 кВт (108 л.с.), ширина щели 14 см",91.01.04-003
Машины для земляных работ,0,Установки баровые,0,"Установки однобаровые на тракторе, мощность 79 кВт (108 л.с.), ширина щели 54 см",91.01.04-004
Машины для земляных работ,0,Экскаваторы,0,Грейферы широкозахватные на базе экскаватора для проходки траншей противофильтрационных завес,91.01.05-001
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы-дреноукладчики, мощность 79 кВт (108 л.с.)",91.01.05-042
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы-планировщики на шасси автомобильного типа, емкость ковша 0,6 м3",91.01.05-051
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы-планировщики на шасси автомобильного типа, емкость ковша 0,8 м3",91.01.05-052
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы для подземных работ, емкость ковша 1,2 м3",91.01.05-062
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 0,15 м3",91.01.05-065
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 0,25 м3",91.01.05-066
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 2,5 м3",91.01.05-071
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 0,4 м3",91.01.05-084
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 0,5 м3",91.01.05-085
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 0,65 м3",91.01.05-086
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 1,0 м3",91.01.05-087
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 1,6 м3",91.01.05-088
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на гусеничном ходу, объем ковша 1,25 м3",91.01.05-089
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на пневмоколесном ходу, объем ковша 0,4 м3",91.01.05-104
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на пневмоколесном ходу, объем ковша 0,5 м3",91.01.05-105
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые дизельные на пневмоколесном ходу, объем ковша 0,25 м3",91.01.05-106
Машины для земляных работ,0,Экскаваторы,0,"Экскаваторы одноковшовые электрические на гусеничном ходу, емкость ковша 2,5 м3",91.01.05-118
