categories,cat_id,groups,g_id,resources,csr_code
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность 6,3-25 т",91.06.01-002
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность 63-100 т",91.06.01-003
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность 200 т",91.06.01-004
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность до 300 т",91.06.01-005
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность до 350 т, ход поршня 2,1 м",91.06.01-006
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность до 500 т",91.06.01-007
Механизмы подъемно-транспортные,0,Домкраты,0,"Домкраты гидравлические, грузоподъемность до 1200 т",91.06.01-510
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки автономные гидравлические с двигателем внутреннего сгорания для бестраншейной замены трубопроводов и протяжки кабеля в комплекте с гидравлическим агрегатом, тяговое усилие 10 т",91.06.03-001
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки-прицепы гидравлические для протяжки кабеля, тяговое усилие 5 т",91.06.03-011
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки-прицепы гидравлические для протяжки кабеля, тяговое усилие 10 т",91.06.03-012
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки вспомогательные шахтные с тяговым усилием 6,18 кН (0,63 т)",91.06.03-031
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки вспомогательные шахтные с тяговым усилием 8,83 кН (0,9 т)",91.06.03-032
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки вспомогательные шахтные с тяговым усилием 13,73 кН (1,4 т)",91.06.03-033
Механизмы подъемно-транспортные,0,Лебедки,0,"Лебедки вспомогательные шахтные с тяговым усилием 24,53 кН (2,5 т)",91.06.03-034
